,Category,Acronym,Name,Location,Dates,Deadline
0,computer science,KMIS 2023,15th International Conference on Knowledge Management and Information Systems,"Lisbon, Portugal","Nov 13, 2023 - Nov 15, 2023","Jul 17, 2023"
1,computer science,NCTA 2023,15th International Conference on Neural Computation Theory and Applications,"Lisbon, Portugal","Nov 13, 2023 - Nov 15, 2023","Jul 17, 2023"
2,computer science,icSPORTS 2023,11th International Conference on Sport Sciences Research and Technology Support,"Lisbon, Portugal","Nov 16, 2023 - Nov 17, 2023","Jul 17, 2023"
3,computer science,HiPC 2023,"30th IEEE International Conference on High Performance Computing, Data, and Analytics (HiPC)","Goa, India","Dec 18, 2023 - Dec 21, 2023","Jul 17, 2023 (Jul 10, 2023)"
4,computer science,ENC 2023,Mexican Internacional Conference on Computer Science (Encuentro Nacional de Computación),"Guanajuato, Mexico","Sep 11, 2023 - Sep 13, 2023","Jul 17, 2023"
5,computer science,RLRL 2023,1st workshop on the Readability for Low Resourced Language,Online,"Sep 5, 2023 - Sep 5, 2023","Jul 17, 2023"
6,computer science,KDIR 2023,15th International Conference on Knowledge Discovery and Information Retrieval,"Lisbon, Portugal","Nov 13, 2023 - Nov 15, 2023","Jul 17, 2023"
7,computer science,KEOD 2023,15th International Conference on Knowledge Engineering and Ontology Development,"Lisbon, Portugal","Nov 13, 2023 - Nov 15, 2023","Jul 17, 2023"
8,computer science,Springer FAIEMA 2023,"Springer - 1st International Conference on Frontiers of Artificial Intelligence, Ethics, and Multidisciplinary Applications","Athens, Greece","Sep 25, 2023 - Sep 26, 2023","Jul 19, 2023"
9,computer science,TACC 2023,3rd Tunisian-Algerian Conference on Applied Computing ,"Sousse, Tunisia","Nov 6, 2023 - Nov 8, 2023","Jul 20, 2023"
10,computer science,CLiC-it 2023,Ninth Italian Conference on Computational Linguistics,"Venice, Italy","Nov 30, 2023 - Dec 2, 2023","Jul 20, 2023"
11,computer science,ACM CSAI 2023,ACM--2023 7th International Conference on Computer Science and Artificial Intelligence (CSAI 2023),"Beijing, China","Dec 8, 2023 - Dec 10, 2023","Jul 20, 2023"
12,computer science,ESSE 2023,2023 The 4th European Symposium on Software Engineering (ESSE 2023),"Napoli, Italy","Dec 1, 2023 - Dec 3, 2023","Jul 20, 2023"
13,computer science,SPRA 2023,2023 The 4th Symposium on Pattern Recognition and Applications (SPRA 2023),"Napoli, Italy","Dec 1, 2023 - Dec 3, 2023","Jul 20, 2023"
14,computer science,IEEE CAIT 2023,IEEE 2023 4th International Conference on Computers and Artificial Intelligence Technology (IEEE CAIT 2023),"Macau, China","Dec 13, 2023 - Dec 15, 2023","Jul 20, 2023"
15,computer science,ICCBB 2023,2023 7th International Conference on Computational Biology and Bioinformatics (ICCBB 2023),"Kuala Lumpur, Malaysia","Dec 11, 2023 - Dec 13, 2023","Jul 20, 2023"
16,computer science,CompAuto 2023,2023 the 3rd International Conference on Computers and Automation (CompAuto 2023),"Paris, France","Dec 7, 2023 - Dec 9, 2023","Jul 20, 2023"
17,computer science,INCC 2023,IEEE--2023 International Conference on Information Network and Computer Communications (INCC 2023),"Beijing, China","Oct 27, 2023 - Oct 29, 2023","Jul 20, 2023"
18,computer science,TechDev 2023,2023 12th International Conference on Computer Technologies and Development (TechDev 2023),"Rome, Italy","Oct 14, 2023 - Oct 16, 2023","Jul 20, 2023"
19,computer science,B4TDS 2023,"3rd International Workshop on Blockchain for Trusted Data Sharing, B4TDS @ BIR 2023","Ascoli Piceno, Italy","Sep 15, 2023 - Sep 15, 2023","Jul 21, 2023"
20,computer science,TAISEN 2023,"The 1st International Workshop on Trust in AI, Services and Networking ","Reykjavik, Iceland","Oct 10, 2023 - Oct 13, 2023","Jul 21, 2023 (Jul 14, 2023)"
21,computer science,PRDC 2023,28th IEEE Pacific Rim International Symposium on Dependable Computing,Singapore,"Oct 24, 2023 - Oct 27, 2023","Jul 21, 2023 (Jul 15, 2023)"
22,computer science,ManComp 2023,8th Workshop on Managed Complexity,"Ascoli Piceno, Italy","Sep 15, 2023 - Sep 15, 2023","Jul 21, 2023"
23,computer science,CMCA 2023,"12th International Conference on Control, Modelling, Computing and Applications ","Toronto, Canada","Sep 23, 2023 - Sep 24, 2023","Jul 22, 2023"
24,computer science,VCOI  2023,International Conference on Vision and Computational Intelligence,Virtual Conference,"Sep 9, 2023 - Sep 10, 2023","Jul 22, 2023"
25,computer science,NLAII 2023,"International Conference on NLP, AI & Information Retrieval",Virtual Conference,"Oct 7, 2023 - Oct 8, 2023","Jul 22, 2023"
26,computer science,IJMVSC 2023,The International Journal of Managing Value and Supply Chains ,N/A,N/A,"Jul 22, 2023"
27,computer science,ASYDE 2023,International Workshop on Automated and verifiable Software sYstem DEvelopment,"Kirchberg, Luxembourg ","Sep 11, 2023 - Sep 11, 2023","Jul 22, 2023"
28,computer science,EDUIT 2023,International Conference on Education & Information Technology,"Dubai, UAE","Aug 26, 2023 - Aug 27, 2023","Jul 22, 2023"
29,computer science,P2PTM  2023,International Conference on Peer-to-Peer Networks and Trust Management ,"London, United Kingdom","Nov 25, 2023 - Nov 26, 2023","Jul 22, 2023"
30,computer science,SIGI 2023,9th International Conference on Signal and Image Processing,"Sydney, Australia","Oct 21, 2023 - Oct 22, 2023","Jul 22, 2023"
31,computer science,NSEC  2023,7th International Conference on Networks and Security,"Dubai, UAE","Aug 26, 2023 - Aug 27, 2023","Jul 22, 2023"
32,computer science,IJBB 2023,International Journal on Bioinformatics & Biosciences,N/A,N/A,"Jul 22, 2023"
33,computer science,MathSJ 2023,Applied Mathematics and Sciences: An International Journal ,N/A,N/A,"Jul 22, 2023"
34,computer science,SEAS 2023,12th International Conference on Software Engineering and Applications ,"Toronto, Canada","Sep 23, 2023 - Sep 24, 2023","Jul 22, 2023"
35,computer science,WeST 2023,15th International Conference on Web services & Semantic Technology,"London, United Kingdom","Nov 25, 2023 - Nov 26, 2023","Jul 22, 2023"
36,computer science,VLSIA 2023,9th International Conference on VLSI and Applications,"Dubai, UAE","Aug 26, 2023 - Aug 27, 2023","Jul 22, 2023"
37,computer science,BDIoT 2023,4th International Conference on Big Data & IoT,"Copenhagen, Denmark","Sep 16, 2023 - Sep 17, 2023","Jul 22, 2023"
38,computer science,NCWC 2023,"9th International Conference of Networks, Communications, Wireless and Mobile Computing","Vienna, Austria","Oct 28, 2023 - Oct 29, 2023","Jul 22, 2023"
39,computer science,SCM 2023,"6th International Conference on Soft Computing, Control and Mathematics","Chennai, India","Aug 19, 2023 - Aug 20, 2023","Jul 22, 2023"
40,computer science,BDBS 2023,"4th International Conference on Big Data, Blockchain and Security"," Toronto, Canada","Sep 23, 2023 - Sep 24, 2023","Jul 22, 2023"
41,computer science,MVSCIT 2023,"International Conference on Managing Value, Supply Chains and Public Sector Information Technology",Virtual Conference,"Aug 12, 2023 - Aug 13, 2023","Jul 22, 2023"
42,computer science,BIENS  2023,7th International Conference on Biomedical Engineering and Science,"Dubai, UAE","Dec 16, 2023 - Dec 17, 2023","Jul 22, 2023"
43,computer science,CSEITT  2023,"International Conference on Computer Science, Engineering and Information Technology Trends",Virtual Conference,"Sep 9, 2023 - Sep 10, 2023","Jul 22, 2023"
44,computer science,AISO 2023,9th International Conference on Artificial Intelligence and Soft Computing,"Zurich, Switzerland","Nov 18, 2023 - Nov 19, 2023","Jul 22, 2023"
